Comp.	Score	UserID	Pseudo	#golf,count=183,time=2022-05-05 01:03:07
100	56	2928146	LolCat	
100	59	1654818	tarapitha	
100	59	2288263	dbdr	
100	65	154372	Plopx	
100	79	4341304	Remi.	
100	80	3354337	Westicles	
100	81	2923506	darkhorse64	
100	81	4420742	Mortis_666	
100	82	1537792	AsaiYusuke	
100	84	1001096	MyIIone	
100	86	1620803	Lyapunov	
100	92	446956	FranMowinckel	
100	94	886483	R4N4R4M4	
100	95	334009	abouvier	
100	96	1833680	jvivenot	
100	102	512097	Stilgart	
100	103	530441	Prime541	
100	104	1487168	FatIvan	
100	107	1166365	Julien.B	
100	107	992329	BeeGee	
100	108	155774	dwarfie	
100	108	1968855	ThePurificator	
100	111	1858764	vdevid	
100	112	2176877	pasymows	
100	113	1848459	Velcoro	
100	119	553938	MagAlex	
100	119	2490008	ebicochineal	
100	121	1654458	thirstycrow	
100	122	709490	Sinlepuissant	
100	124	2924895	trictrac	
100	124	2874091	5DN1L	
100	126	2096336	SAINT_LAURENT	
100	127	1081827	[CG]MathisHammel	
100	130	1013757	RikyM	
100	132	1838549	orangesnowfox	
100	133	925695	Boulet	
100	133	860404	Vitruvius	
100	135	351062	Neumann	
100	135	962495	eboot	
100	136	4011783	sylbouns	
100	136	1179950	Patorikkuyatta	
100	136	2554628	ckibibi	
100	136	3973359	KAbel	
100	136	3844625	surgutti	
100	136	2508635	hemhel	
100	136	3514975	PhuRiNaT	
100	136	1441239	Dyd	
100	136	792813	VilBoub	
100	137	1093968	milosMATRIXrepic	
100	137	4620106	lonequantum	
100	138	1284318	tyco	
100	138	1408492	Ptit-g	
100	138	3532429	Skyf0l	
100	150	916320	antls	
100	150	155928	pk	
100	150	153396	Loubna	
100	152	2436448	FrancoisMeme	
100	157	2069141	tomeko	
100	160	964087	xflr6	
100	167	1684030	Mator	
100	169	927873	Charlot67	
100	169	1068877	[CPC]Tamno	
100	171	607150	Frisky	
100	173	826359	Skywalker	
100	174	906992	Erwee	
100	174	2135916	Oioi	
100	175	482543	seshoumara	
100	175	1337680	Discoordination	
100	176	505511	int33h	
100	176	830819	johnnyhibiki	
100	176	2165068	caerbannog	
100	178	1231532	Arnaud_63	
100	179	4667633	Lukiwuki	
100	180	1975116	AtteLynx	
100	181	1210325	Scotow	
100	183	2116157	ivfun	
100	183	1864483	Mistblinde	
100	184	1631057	Pask	
100	185	3540338	CAV	
100	187	1500515	eulerscheZahl	
100	187	3913376	LaurentValade	
100	188	389632	ma	
100	188	2786666	TetraktysPhi	
100	188	854169	Silmaen	
100	189	1579653	zweedeend	
100	189	1588583	dANNs	
100	193	862919	Astrobytes	
100	194	1348523	Numb_	
100	195	3946057	boogiepop	
100	195	1111915	Giloulaloutre	
100	196	3791343	Daskas	
100	197	3922731	Dartisan	
100	199	2897325	CAEZAR	
100	199	1799001	eddernstein	
100	199	4434701	Pucu	
100	200	154901	jybateman	
100	201	1207116	n0vember	
100	202	1740037	ereiam	
100	203	1086579	biinari	
100	205	3869618	tsds	
100	206	1759839	matleg	
100	207	2139722	AHD267	
100	208	1072200	alze	
100	209	1464932	Tiramon	
100	223	937933	Richmond	
100	226	1121543	Aube	
100	227	154388	PonyPonyCodeCode	
100	229	3727077	Manwi23	
100	231	1304841	NitMpez	
100	235	4454468	KNTK	
100	239	1382451	Torval	
100	241	1348546	ValeCaza	
100	243	3974512	Ogaren	
100	246	1675720	AxFab	
100	247	3808031	_proton	
100	252	996142	Nickotar	
100	254	774387	DrunkenMonkey	
100	256	3305510	TBali	
100	259	1413458	ToKapix	
100	268	2051278	GuillaumeK	
100	269	1569823	Niako	
100	275	1077559	PhOeNyX	
100	276	1009766	Mepsik	
100	276	1425201	JamesPun	
100	277	1498189	Pyoroalb	
100	277	3807227	GaryAflalo	
100	277	4018953	zTTK	
100	277	3842278	hem123	
100	277	4334077	Paul_Demanze	
100	277	1470927	MisterQuidam	
100	277	1579042	Hulous	
100	277	4596822	Zwii	
100	285	1413338	Gersiete	
100	286	1130789	Pc23	
100	287	847660	HarderThanNP	
100	299	848302	Voivode	
100	325	2078184	jz4o	
100	329	2374560	KrawlerK	
100	333	2200765	davgast	
100	338	735910	Agade	
100	339	329048	Eniwilan	
100	368	938678	JDU	
100	377	1184799	justforfun	
100	377	1438835	smohn	
100	378	1188212	superredlark	
100	413	1209562	Jiway	
100	471	1738155	DeDg	
100	477	816116	tone	
100	482	689015	Ghomam	
100	783	1333232	ntj	
100	881	1812650	LuxDincht	
100	1387	907530	TaMaMhyu	
100	1510	1169499	naab	
100	1552	481380	mhgharieb	
100	1798	482281	rengejao	
100	2795	1323814	Wildcat-SC	
71.5	185	3705601	ido_the_pro	
71.5	336	1857171	AdamB	
71.4	59	3845610	pardouin	
0	0	2412391	JXmas	
0	13	403748	[CG]SaiksyApo	
0	72	154984	_Royale	
0	79	1100752	ValNykol	
0	79	1390607	Ivan_Derzhylo	
0	80	973040	papyjo	
0	81	4095128	Voltmachine	
0	84	1629259	Marchete	
0	84	1853956	yoannk	
0	87	557990	Wazemo	
0	130	1518983	bertm	
0	159	2660470	Perdur	
0	177	2416641	Zenoscave	
0	202	733335	DJNour	
0	212	788361	Bob	
0	1068	2666292	coder5567	
0	1078	3056535	andres71	
0	1078	4092584		
0	1078	4430223		
0	1078	4620800	tazmyncruz	
0	1078	4828171		
0	1079	3879814	saix	
0	1084	4452094	masongtxr	
0	1160	3866736	wret254	
